All CCC Companies;;End-of-month update at:;http://dripinvesting.org/Tools/Tools.htm;;;;;;;;;;;;;;Fundamental Data;;;;;Numbers in Blue directly from FinViz.com;;;;;;;(Brown=Yahoo Finance);;;;;;;Dividends Paid by Year;;;;;;;;;;;;;;;;;;;;;;;Percentage Increase by Year;;;;;;;;;;;;;;;;;Special Formulas;;;Dividend Growth Model;;;;;;;Technical Data;;;;
(and American Depository Receipts);;;;;;;;;Dates in Green (centered) indicate increase (by Ex-Div. Date) expected in next 2 months;;;;;;;;;;;Abbreviations:;;"EPS=Earnings Per Share; P/E=Price/Earnings Per Share; TTM=Trailing Twelve Months; MRQ=Most Recent Quarter,";;;;;;;;;;;;;;(excluding Special/Extra Dividends);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(see Notes tab);;;(based on Earnings Estimates, if available);;;;;;;;;;;
Note: This worksheet does not include the formulas in the Champions, Contenders, and Challengers worksheets;;;;;;;;;Dates in Red (right-aligned) indicate last increase more than a year ago (Ex-Div Date);;;;;;;;;;;;;"PEG=P/E divided by 5-yr future growth rate; FCF=Free Cash Flow, ROE=Return On Equity, TY=This Year; NY=Next Year";;;;;;;;;;;;;;*A/D=Acceleration/Deceleration (5-year average increase divided by 10-year average increase);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Past Performance is No Guarantee of Future Results;;;;;;;;MMA=Moving Market Average;;;
5 or more straight years of higher dividends;;;;;;;;;Most Recent Dividend Increase Information;;;;;;;;Disclaimer: Although all figures are thought to be correct, no guarantee is expressed or implied.;;;;;;;;;;;;;;;;;;;;(DGR=Dividend Growth Rate);;;;;"# Column on right excludes amount normally paid in following year but accelerated; included next year (column on left)";;;;;;;;;;;;;;;;15 yrs;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;Mean;;;;;;;;;;;5-year Total;;;Current Price as % from:;;;
MSA Safety Inc.;MSA;Medical/Safety Equip.;43;37;-;-;57.47;2.16;0.3000;0.3100;3.33;5-16-14;5-20-14;6-20-14;C20;;1.24;59.33;110.3 ;27.50;12;2.09;1.83;1.93;3.62;14.00;(2.6);24.4 ;2.9 ;15.0 ;4 ;2,155;5.2;0.47;1.604;0.282 ;7.3;6.0;4.7;16.5;1.180;;1.100;1.030;;0.990;0.960;0.940;0.840;0.680;0.520;0.370;0.257;0.217;0.180;0.158;0.151;9.572;7.3;6.8;4.0;3.1;2.1;11.9;23.5;30.8;40.5;44.1;18.5;20.4;14.1;4.4;16.5;13.4;Industrials;(20.7);6.8 ;59.9;1.19;1.31;1.44;1.59;1.74;7.28;12.7;1.50 ;25.8 ;(5.4);10.2 ;7.4 
MSC Industrial Direct Co. Inc.;MSM;Industrial Goods;12;265;-;-;80.97;1.98;0.3300;0.4000;21.21;11-14-14;11-18-14;11-26-14;B26;$3 Special-11/26;1.60;43.84;86.3 ;22.18;8;3.65;1.66;1.85;3.52;16.60;(8.3);14.0 ;4.3 ;13.3 ;7 ;5,054;0.6;0.19;2.351;0.354 ;17.1;13.6;10.1;28.5 ;1.230;#;1.050;0.910;;0.840;0.800;0.760;0.680;0.560;0.460;0.340;0.100;0.000;0.000;0.000;0.000;7.730;17.1;15.4;8.3;5.0;5.3;11.8;21.4;21.7;35.3;240.0;0.0;0.0;0.0;0.0;27.2;59.9;Industrials;(10.1);12.1 ;66.6;1.24;1.37;1.50;1.65;1.82;7.58;9.4;1.10 ;9.8 ;(15.9);(6.7);(7.7)
Muncy Bank Financial Inc.;MYBF;Banking;14;200;N;-;32.26;2.73;0.2000;0.2200;10.00;2-26-14;2-28-14;3-14-14;C14;;0.88;n/a;n/a;n/a;12;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;0 ;n/a;n/a;n/a;n/a;0.871 ;5.3;9.8;7.8;8.9 ;0.800;;0.760;0.670;;0.605;0.575;0.550;0.505;0.480;0.460;0.360;0.340;0.320;0.300;0.280;0.260;7.265;5.3;13.4;10.7;5.2;4.5;8.9;5.2;4.3;27.8;5.9;6.3;6.7;7.1;7.7;8.5;5.9;Financials;n/a;10.5 ;34.5;0.82;0.85;0.87;0.90;0.93;4.37;13.6;n/a;2.3 ;(25.5);(0.8);(11.2)
Murphy Oil Corp.;MUR;Oil & Gas;18;165;-;-;53.39;2.62;0.3125;0.3500;12.00;8-14-14;8-18-14;9-2-14;C02;;1.40;33.90;(19.4);12.93;12;4.13;2.55;1.75;1.13;16.50;10.3 ;(1.8);(12.3);5.1 ;15 ;9,480;0.6;0.46;n/a;0.701 ;15.0;8.8;9.1;12.9 ;1.163;;1.012;0.947;;0.904;0.861;0.753;0.581;0.452;0.387;0.366;0.344;0.334;0.323;0.312;0.301;9.042;15.0;6.8;4.8;5.0;14.3;29.6;28.6;16.7;5.9;6.3;3.2;3.3;3.4;3.6;10.5;8.8;Energy;(1.2);11.7 ;69.0;1.28;1.29;1.36;1.43;1.50;6.86;12.8;1.56 ;8.1 ;(21.5);(5.2);(11.2)
Myers Industries Inc.;MYE;Rubber and Plastics;5;484;N;N;14.94;3.48;0.0900;0.1300;44.44;3-6-14;3-10-14;4-1-14;A01;Former Champion;0.52;104.00;81.5 ;29.88;12;0.50;9.96;0.62;2.48;7.20;(13.6);40.7 ;20.9 ;3.0 ;4 ;474;0.8;0.71;0.404;1.195 ;12.5;11.5;8.4;7.1 ;0.360;;0.320;0.280;;0.260;0.240;0.240;0.218;0.203;0.200;0.186;0.182;0.178;0.163;0.148;0.134;3.311;12.5;14.3;7.7;8.3;0.0;10.3;7.4;1.3;7.3;2.5;2.0;9.5;10.0;10.0;7.4;4.2;Consumer Discretionary;(18.0);11.9 ;51.9;0.36;0.40;0.41;0.42;0.44;2.04;13.6;1.48 ;7.2 ;(38.8);(15.3);(22.8)
NACCO Industries;NC;Machinery/Consumer;29;91;-;-;58.57;1.76;0.2500;0.2575;3.00;5-28-14;5-30-14;6-13-14;C13;;1.03;27.61;7.0 ;15.70;12;3.73;n/a;0.49;1.64;10.50;9.2 ;0.0 ;16.0 ;n/a;0 ;447;1.5;0.84;0.559;0.936 ;29.3;14.6;8.9;9.6;1.000;;0.773;0.675;;0.664;0.659;0.651;0.631;0.607;0.589;0.534;0.401;0.309;0.296;0.284;0.271;8.343;29.3;14.5;1.7;0.8;1.1;3.3;3.9;3.1;10.3;32.9;29.9;4.3;4.5;4.7;10.3;11.2;Consumer Discretionary;(5.0);10.7 ;60.9;1.09;1.09;1.12;1.16;1.19;5.66;9.7;1.57 ;27.2 ;(9.2);14.7 ;10.7 
National American University Holdings Inc.;NAUH;Educational Services;5;448;-;-;3.11;5.79;0.0400;0.0450;12.50;9-26-13;9-30-13;10-11-13;A11;2014=Year 5;0.18;75.00;(7.7);12.96;5;0.24;0.86;0.62;1.48;11.70;(33.3);(2.2);(18.1);15.0 ;2 ;78;2.2;0.23;n/a;n/a;20.0;24.7;n/a;n/a;0.165;#;0.138;0.120;;0.085;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.508;20.0;14.6;41.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.4;11.6;Consumer Discretionary;n/a;n/a;47.2;0.17;0.17;0.19;0.20;0.22;0.95;30.5;1.30 ;55.5 ;(19.7);0.3 ;(5.4)
National Bankshares;NKSH;Banking;14;198;-;-;31.31;3.58;0.5500;0.5600;1.82;11-26-13;11-29-13;12-6-13;JnDe;SA,@;1.12;44.80;(13.6);12.52;12;2.50;n/a;4.88;1.34;11.20;0.0 ;0.0 ;5.4 ;n/a;1 ;218;0.9;0.00;1.289;0.983 ;1.8;7.2;7.0;7.1 ;1.120;;1.100;1.000;;0.910;0.840;0.800;0.760;0.730;0.710;0.640;0.565;0.485;0.430;0.425;0.000;10.515;1.8;10.0;9.9;8.3;5.0;5.3;4.1;2.8;10.9;13.3;16.5;12.8;1.2;0.0;7.3;4.9;Financials;(2.0);10.5 ;38.6;1.12;1.12;1.15;1.19;1.22;5.81;18.5;0.95 ;14.1 ;(16.5);9.3 ;(2.4)
National Fuel Gas;NFG;Utility-Gas;44;32;N;N;69.23;2.22;0.3750;0.3850;2.67;6-26-14;6-30-14;7-15-14;A15;;1.54;44.90;49.2 ;20.18;9;3.43;3.60;2.79;2.48;12.80;17.1 ;1.1 ;(0.5);5.6 ;10 ;5,824;1.4;0.70;n/a;0.916 ;2.8;2.9;3.1;3.4;1.480;;1.440;1.400;;1.360;1.320;1.270;1.220;1.180;1.140;1.100;1.060;1.025;0.985;0.945;0.915;17.840;2.8;2.9;2.9;3.0;3.9;4.1;3.4;3.5;3.6;3.8;3.4;4.1;4.2;3.3;3.5;0.5;Utilities;(14.9);5.3 ;52.2;1.63;1.65;1.74;1.84;1.94;8.78;12.7;1.45 ;7.7 ;(11.7);(3.1);(4.3)
National Health Investors;NHI;REIT-Health Care;12;245;Y;Y;65.91;4.67;0.7350;0.7700;4.76;3-27-14;3-31-14;5-9-14;B09;;3.08;101.99;65.7 ;21.82;12;3.02;4.04;14.62;2.83;17.10;5.7 ;7.5 ;8.6 ;5.4 ;7 ;2,178;0.2;0.83;0.661;0.914 ;8.2;7.1;5.7;6.2 ;2.835;;2.620;2.450;;2.305;2.200;2.150;1.980;1.890;1.775;1.675;1.550;1.500;0.000;2.020;2.960;29.910;8.2;6.9;6.3;4.8;2.3;8.6;4.8;6.5;6.0;8.1;3.3;0.0;0.0;0.0;4.7;3.0;Financials;(11.5);10.4 ;46.1;3.00;3.22;3.40;3.58;3.77;16.97;25.7;0.59 ;25.1 ;1.0 ;8.0 ;9.3 
National Healthcare Corp.;NHC;Healthcare Facilities;11;298;-;-;60.31;2.26;0.3200;0.3400;6.25;6-26-14;6-30-14;9-2-14;C02;;1.36;39.65;9.3 ;17.58;12;3.43;n/a;1.03;1.53;10.10;9.8 ;0.0 ;9.7 ;n/a;0 ;858;11.1;0.09;0.682;n/a;3.3;4.7;6.6;n/a;1.240;;1.200;1.160;;1.080;1.000;0.900;0.780;0.660;0.550;0.375;0.000;0.000;0.000;0.000;0.000;8.945;3.3;3.4;7.4;8.0;11.1;15.4;18.2;20.0;46.7;0.0;0.0;0.0;0.0;0.0;9.5;12.4;Health Care;(8.7);8.9 ;45.0;1.36;1.36;1.40;1.44;1.49;7.06;11.7;0.77 ;28.2 ;(1.0);6.3 ;11.1 
National Interstate Corp.;NATL;Insurance;10;312;-;-;28.44;1.69;0.1100;0.1200;9.09;3-10-14;3-12-14;3-27-14;C27;;0.48;71.64;72.1 ;42.45;12;0.67;3.27;0.96;1.57;3.70;(49.1);188.1 ;10.1 ;13.0 ;6 ;565;1.0;0.03;1.276;n/a;10.0;11.2;12.9;n/a;0.440;;0.400;0.360;;0.320;0.280;0.240;0.200;0.160;0.080;0.000;0.000;0.000;0.000;0.000;0.000;2.480;10.0;11.1;12.5;14.3;16.7;20.0;25.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;25.0;Financials;(27.9);14.6 ;55.8;0.44;0.49;0.54;0.59;0.65;2.71;9.5;0.86 ;36.0 ;(11.8);2.4 ;2.7 
National Oilwell Varco Inc.;NOV;Oil&Gas Equipment;6;435;-;-;72.64;2.53;0.2337;0.4600;96.82;6-11-14;6-13-14;6-27-14;C27;Adj./Spin-off;1.84;31.67;(9.9);12.50;12;5.81;1.04;1.36;1.46;11.40;(6.7);11.5 ;2.1 ;12.0 ;34 ;31,253;0.1;0.15;n/a;n/a;85.7;30.4;n/a;n/a;0.818;;0.440;0.405;;0.369;0.090;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.121;85.7;8.9;9.8;310.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.6;80.8;Energy;n/a;n/a;63.4;0.83;0.91;1.00;1.10;1.21;5.04;6.9;1.93 ;12.5 ;(15.6);(6.2);(2.7)
National Retail Properties;NNN;REIT-Retail;25;105;N;N;38.12;4.41;0.4050;0.4200;3.70;7-29-14;7-31-14;8-15-14;B15;;1.68;148.67;76.6 ;33.73;12;1.13;9.37;11.53;2.08;6.40;2.9 ;6.8 ;(2.8);3.6 ;10 ;4,768;1.4;0.77;n/a;0.696 ;2.6;1.9;1.6;2.3 ;1.600;;1.560;1.530;;1.510;1.500;1.480;1.400;1.320;1.300;1.290;1.280;1.270;1.260;1.245;1.240;20.785;2.6;2.0;1.3;0.7;1.4;5.7;6.1;1.5;0.8;0.8;0.8;0.8;1.2;0.4;1.9;1.7;Financials;(27.8);6.0 ;35.6;1.65;1.76;1.82;1.89;1.95;9.07;23.8;0.46 ;33.1 ;0.8 ;6.3 ;10.2 
Nestle S.A.;NSRGY;Food Processing;14;204;Y;Y;73.33;3.30;2.1635;2.4174;11.73;4-14-14;4-16-14;5-30-14;May;Ann,ADR-Switz.;2.42;76.74;96.7 ;23.28;12;3.15;5.53;2.44;3.74;n/a;n/a;n/a;n/a;n/a;3 ;234,000;n/a;n/a;n/a;0.885 ;2.4;16.2;13.4;15.2 ;2.164;;2.112;2.082;;1.379;1.237;1.153;0.846;0.692;0.670;0.556;0.527;0.384;0.319;0.216;0.213;14.551;2.4;1.4;51.0;11.5;7.3;36.3;22.1;3.3;20.6;5.5;37.3;20.4;47.9;1.2;19.2;17.0;Consumer Staples;(6.6);16.7 ;49.7;2.23;2.30;2.36;2.44;2.51;11.83;16.1;n/a;11.5 ;(9.1);0.9 ;(3.5)
New Jersey Resources;NJR;Utility-Gas;19;159;N;N;58.48;3.08;0.4200;0.4500;7.14;9-18-14;9-22-14;10-1-14;A01;;1.80;52.33;35.5 ;17.00;9;3.44;4.25;0.64;2.43;15.30;23.3 ;(26.7);1.2 ;4.0 ;8 ;2,468;0.8;0.80;6.818;1.176 ;5.2;6.0;8.2;7.0 ;1.620;;1.540;1.440;;1.360;1.240;1.093;1.013;0.960;0.907;0.867;0.827;0.800;0.782;0.764;0.747;15.960;5.2;6.9;5.9;9.7;13.4;7.9;5.6;5.9;4.6;4.8;3.3;2.3;2.3;2.4;5.7;3.0;Utilities;(5.7);11.3 ;58.5;1.78;1.80;1.87;1.95;2.02;9.42;16.1;0.56 ;38.6 ;1.0 ;12.8 ;16.7 
NewMarket Corp.;NEU;Chemical-Specialty;10;350;-;-;388.01;1.44;1.1000;1.4000;27.27;12-11-14;12-15-14;1-1-15;A01;2015=Year 10;5.60;31.04;203.2 ;21.51;12;18.04;3.84;2.10;9.62;47.50;3.1 ;7.9 ;30.8 ;5.6 ;5 ;4,904;13.1;0.69;1.102;n/a;15.0;32.0;34.0;n/a;3.450;;3.000;2.080;;1.500;0.900;0.800;0.500;0.375;0.000;0.000;0.000;0.000;0.000;0.188;0.250;13.043;15.0;44.2;38.7;66.7;12.5;60.0;33.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.3;23.6;Materials;13.9 ;35.4 ;56.1;3.56;3.84;4.05;4.28;4.52;20.25;5.2;1.35 ;33.3 ;(6.5);(0.3);2.2 
NextEra Energy;NEE;Utility-Electric/Gas;20;145;N;N;100.22;2.89;0.6600;0.7250;9.85;2-26-14;2-28-14;3-17-14;C17;;2.90;64.73;53.2 ;22.37;12;4.48;3.46;2.83;2.36;10.80;(11.6);6.9 ;(0.2);6.5 ;25 ;44,522;0.1;1.63;n/a;1.000 ;10.0;9.7;8.2;8.2 ;2.640;;2.400;2.200;;2.000;1.890;1.780;1.640;1.500;1.420;1.300;1.200;1.160;1.120;1.080;1.040;24.370;10.0;9.1;10.0;5.8;6.2;8.5;9.3;5.6;9.2;8.3;3.4;3.6;3.7;3.8;6.9;2.5;Utilities;(11.3);11.1 ;64.8;2.67;2.85;3.03;3.23;3.44;15.22;15.2;0.43 ;25.8 ;(1.5);4.9 ;6.1 
Nike Inc.;NKE;Apparel;12;234;Y;Y;92.97;1.03;0.2100;0.2400;14.29;12-12-13;12-16-13;1-6-14;A06;;0.96;29.91;205.3 ;28.96;5;3.21;2.17;2.78;7.24;25.90;11.2 ;14.5 ;14.5 ;13.3 ;26 ;80,095;0.3;0.12;0.849;0.669 ;12.0;14.5;12.3;18.4 ;0.840;;0.750;0.620;;0.560;0.510;0.470;0.393;0.325;0.265;0.213;0.155;0.125;0.120;0.120;0.120;5.585;12.0;21.0;10.7;9.8;8.5;19.7;20.8;22.6;24.7;37.1;24.0;4.2;0.0;0.0;15.4;10.3;Consumer Discretionary;(15.6);13.3 ;74.6;0.92;1.02;1.12;1.23;1.35;5.64;6.1;0.78 ;34.3 ;(0.0);9.7 ;20.0 
Nordson Corp.;NDSN;Machinery;51;16;N;N;76.55;1.15;0.1800;0.2200;22.22;8-22-14;8-26-14;9-9-14;C09;;0.88;24.24;118.0 ;21.09;10;3.63;1.32;2.93;5.07;25.50;(0.9);13.3 ;14.9 ;16.0 ;10 ;4,830;0.1;0.67;0.844;1.550 ;20.0;19.2;12.6;8.1;0.660;;0.550;0.460;;0.390;0.369;0.365;0.350;0.335;0.323;0.313;0.303;0.285;0.280;0.260;0.240;5.481;20.0;19.6;17.9;5.8;1.0;4.3;4.5;3.9;3.2;3.3;6.1;1.8;7.7;8.3;7.7;6.3;Industrials;(7.4);13.7 ;75.0;0.67;0.73;0.81;0.89;0.98;4.07;5.3;1.47 ;15.0 ;(9.6);0.3 ;2.0 
Nordstrom Inc.;JWN;Retail-Apparel;5;476;-;-;72.61;1.82;0.3000;0.3300;10.00;3-6-14;3-10-14;3-25-14;C25;;1.32;35.39;138.1 ;19.47;1;3.73;1.94;1.08;6.55;35.50;4.2 ;9.5 ;15.2 ;10.0 ;30 ;13,985;3.7;1.48;0.881;0.693 ;11.1;16.4;13.4;19.3 ;1.200;;1.080;0.920;;0.760;0.640;0.640;0.540;0.420;0.320;0.240;0.205;0.190;0.180;0.175;0.160;7.670;11.1;17.4;21.1;18.8;0.0;18.5;28.6;31.3;33.3;17.1;7.9;5.6;2.9;9.4;15.9;10.0;Consumer Discretionary;(4.3);15.2 ;69.1;1.25;1.37;1.51;1.66;1.82;7.61;10.5;1.31 ;34.3 ;(0.4);4.3 ;11.6 
Norfolk Southern;NSC;Railroad;13;225;N;N;110.64;2.06;0.5400;0.5700;5.56;7-30-14;8-1-14;9-10-14;C10;&;2.28;35.51;45.1 ;17.23;12;6.42;1.51;2.94;2.75;16.80;12.5 ;13.2 ;6.0 ;11.4 ;31 ;34,236;0.3;0.72;1.805;0.513 ;5.2;13.4;10.8;21.1 ;2.040;;1.940;1.660;;1.400;1.360;1.220;0.960;0.680;0.480;0.360;0.300;0.260;0.240;0.800;0.800;14.500;5.2;16.9;18.6;2.9;11.5;27.1;41.2;41.7;33.3;20.0;15.4;8.3;0.0;0.0;17.3;13.6;Industrials;(4.3);12.9 ;76.0;2.24;2.47;2.72;2.99;3.29;13.70;12.4;1.17 ;32.4 ;(2.5);2.1 ;10.8 
Northeast Indiana Bancorp;NIDB;Banking;20;152;-;-;26.00;3.08;0.1950;0.2000;2.56;11-7-14;11-11-14;11-25-14;B25;;0.80;33.47;(28.7);10.88;12;2.39;n/a;2.75;1.05;n/a;n/a;n/a;n/a;n/a;0 ;31;n/a;n/a;n/a;0.802 ;4.8;3.8;3.0;3.7 ;0.765;;0.730;0.705;;0.685;0.665;0.660;0.645;0.640;0.610;0.570;0.530;0.490;0.450;0.410;0.345;8.900;4.8;3.5;2.9;3.0;0.8;2.3;0.8;4.9;7.0;7.5;8.2;8.9;9.8;18.7;5.9;4.5;Financials;(4.8);6.1 ;39.1;0.79;0.81;0.84;0.86;0.89;4.18;16.1;n/a;26.8 ;0.0 ;5.3 ;12.7 
Northeast Utilities;NU;Utility-Electric/Gas;16;182;N;Y;49.35;3.18;0.3675;0.3925;6.80;2-27-14;3-3-14;3-31-14;C31;;1.57;66.24;21.7 ;20.82;12;2.37;3.30;2.04;1.60;7.80;31.7 ;7.9 ;8.3 ;6.3 ;18 ;15,614;0.2;0.97;1.475;1.244 ;11.1;12.8;12.2;9.8 ;1.470;;1.323;1.100;;1.025;0.950;0.825;0.775;0.725;0.675;0.625;0.575;0.525;0.450;0.400;0.100;11.543;11.1;20.3;7.3;7.9;15.2;6.5;6.9;7.4;8.0;8.7;9.5;16.7;12.5;300.0;31.3;74.6;Utilities;(5.4);15.4 ;71.3;1.62;1.74;1.85;1.97;2.10;9.28;18.8;0.49 ;25.9 ;(1.3);7.3 ;10.4 
Northrim BanCorpInc.;NRIM;Banking;5;534;-;-;28.90;2.49;0.1700;0.1800;5.88;9-9-14;9-11-14;9-19-14;C19;;0.72;36.55;(10.1);14.67;12;1.97;n/a;3.82;1.24;8.90;(5.6);19.9 ;14.4 ;n/a;1 ;198;3.4;0.12;-0.043;n/a;14.3;13.3;-0.6;6.4 ;0.640;;0.560;0.500;;0.440;0.400;0.660;0.555;0.432;0.385;0.345;0.345;0.181;0.165;0.165;0.157;5.930;14.3;12.0;13.6;10.0;0.0;19.0;28.4;12.1;11.8;0.0;90.0;10.0;0.0;5.0;16.2;21.8;Financials;(12.8);1.9 ;45.9;0.65;0.71;0.73;0.75;0.78;3.62;12.5;0.53 ;27.7 ;0.3 ;9.6 ;16.0 
Northrop Grumman;NOC;Aerospace/Defense;11;294;N;N;137.96;2.03;0.6100;0.7000;14.75;5-28-14;6-2-14;6-18-14;C18;;2.80;29.82;37.1 ;14.69;12;9.39;2.13;1.16;2.88;19.70;6.9 ;(1.0);22.9 ;6.9 ;21 ;27,868;0.2;0.60;0.476;0.862 ;10.7;12.7;10.9;12.7 ;2.380;;2.150;1.925;;1.662;1.527;1.418;1.337;1.048;0.913;0.804;0.723;0.723;0.723;0.723;0.723;18.778;10.7;11.7;15.8;8.9;7.6;6.1;27.6;14.9;13.5;11.3;0.0;0.0;0.0;0.0;9.1;7.5;Industrials;(1.8);12.9 ;72.1;2.54;2.57;2.75;2.94;3.14;13.94;10.1;1.04 ;32.2 ;0.1 ;7.5 ;13.2 
Northwest Natural Gas;NWN;Utility-Gas;59;3;N;N;46.93;3.94;0.4600;0.4625;0.54;10-29-14;10-31-14;11-14-14;B14;;1.85;84.09;25.1 ;21.33;12;2.20;5.33;1.64;1.65;7.90;2.8 ;5.5 ;(3.0);4.0 ;7 ;1,276;0.4;1.03;n/a;1.009 ;2.0;2.8;3.7;3.7;1.825;;1.790;1.750;;1.680;1.600;1.520;1.440;1.390;1.320;1.300;1.270;1.260;1.245;1.240;1.220;21.850;2.0;2.3;4.2;5.0;5.3;5.6;3.6;5.3;1.5;2.4;0.8;1.2;0.4;1.6;2.9;1.8;Utilities;(13.7);7.7 ;46.7;1.88;1.98;2.06;2.14;2.23;10.28;21.9;0.52 ;20.8 ;0.0 ;7.0 ;8.8 
NorthWestern Corp.;NWE;Utility-Elec/Gas;10;314;N;N;52.84;3.03;0.3800;0.4000;5.26;3-12-14;3-14-14;3-31-14;C31;;1.60;56.94;26.3 ;18.80;12;2.81;2.69;1.71;1.91;10.30;(7.5);18.7 ;6.8 ;7.0 ;7 ;2,068;1.1;1.28;0.421;n/a;2.7;3.8;2.9;n/a;1.520;;1.480;1.440;;1.360;1.340;1.320;1.280;1.240;1.000;0.000;0.000;0.000;0.000;0.000;0.000;11.980;2.7;2.8;5.9;1.5;1.5;3.1;3.2;24.0;0.0;0.0;0.0;0.0;0.0;0.0;3.2;6.0;Utilities;(12.9);5.9 ;47.1;1.54;1.69;1.81;1.93;2.07;9.03;17.1;0.64 ;31.2 ;(0.2);9.7 ;12.5 
Norwood Financial;NWFL;Banking;16;181;N;N;28.97;4.14;0.2900;0.3000;3.45;1-13-14;1-15-14;2-3-14;B03;;1.20;52.86;(21.4);12.76;12;2.27;n/a;3.78;1.09;8.70;0.0 ;0.0 ;1.2 ;n/a;0 ;105;3.0;0.23;3.915;0.625 ;4.8;3.9;4.7;7.5 ;1.144;;1.091;1.055;;1.018;0.982;0.909;0.836;0.745;0.623;0.589;0.554;0.508;0.462;0.392;0.323;11.231;4.8;3.4;3.6;3.7;8.0;8.7;12.2;19.6;5.9;6.2;9.1;10.0;17.7;21.4;9.6;5.8;Financials;(3.9);8.8 ;44.4;1.14;1.14;1.18;1.21;1.25;5.93;20.5;0.10 ;14.8 ;(7.0);2.6 ;2.4 
Novo Nordisk A/S;NVO;Drugs;14;203;Y;Y;45.18;1.84;0.6204;0.8303;33.84;3-21-14;3-25-14;4-2-14;Apr;Ann,ADR-Den.;0.83;50.02;380.2 ;27.22;12;1.66;2.18;6.60;19.06;68.20;20.5 ;12.2 ;24.6 ;12.5 ;2 ;94,620;0.0;0.01;1.094;0.959 ;23.6;31.7;26.9;28.1 ;0.620;;0.502;0.377;;0.272;0.217;0.188;0.124;0.096;0.086;0.074;0.052;0.037;0.032;0.042;0.016;2.736;23.6;33.1;38.8;25.2;15.2;52.2;28.9;12.1;15.1;42.4;41.9;15.9;0.0;157.3;35.8;36.4;Health Care;1.5 ;28.7 ;68.7;0.68;0.75;0.83;0.91;1.00;4.17;9.2;0.97 ;39.3 ;(8.0);(1.9);1.5 
Nu Skin Enterprises Inc.;NUS;Personal Products;14;201;-;-;52.83;2.61;0.3000;0.3450;15.00;3-12-14;3-14-14;3-26-14;C26;;1.38;27.38;27.7 ;10.48;12;5.04;n/a;0.96;3.50;36.90;68.8 ;15.1 ;42.2 ;(3.6);8 ;3,129;0.8;0.24;0.527;1.419 ;50.0;33.9;22.2;15.7 ;1.200;;0.800;0.590;;0.500;0.460;0.440;0.420;0.400;0.360;0.320;0.280;0.240;0.200;0.000;0.000;6.210;50.0;35.6;18.0;8.7;4.5;4.8;5.0;11.1;12.5;14.3;16.7;20.0;0.0;0.0;14.4;13.4;Consumer Staples;14.4 ;24.8 ;67.9;1.32;1.45;1.47;1.48;1.50;7.22;13.7;1.66 ;31.9 ;(61.7);17.2 ;(20.5)
Nucor Corp.;NUE;Steel & Iron;41;49;N;N;54.06;2.74;0.3675;0.3700;0.68;12-27-13;12-31-13;2-11-14;B11;;1.48;82.22;73.3 ;30.03;12;1.80;0.76;0.85;2.25;7.50;(3.8);54.8 ;(24.0);39.7 ;21 ;17,236;0.4;0.60;n/a;0.106 ;0.7;0.7;2.3;22.1;1.470;;1.460;1.450;;1.440;1.410;1.310;0.630;0.400;0.300;0.235;0.200;0.190;0.170;0.150;0.130;10.945;0.7;0.7;0.7;2.1;7.6;107.9;57.5;33.3;27.7;17.5;5.3;11.8;13.3;15.4;21.5;28.4;Materials;(25.0);5.1 ;58.8;1.48;1.63;1.80;1.98;2.17;9.06;16.8;1.33 ;19.1 ;(7.4);1.5 ;6.5 
Occidental Petroleum;OXY;Oil&Gas;12;244;N;N;88.93;3.24;0.6400;0.7200;12.50;3-6-14;3-10-14;4-15-14;A15;'14/'15 Spin-off;2.88;37.80;(8.6);11.67;12;7.62;2.09;2.76;1.61;14.00;28.9 ;(3.0);(3.4);5.6 ;25 ;69,333;0.3;0.16;n/a;0.907 ;18.3;18.7;15.2;16.8 ;2.460;;2.080;1.760;;1.470;1.310;1.210;0.940;0.800;0.645;0.550;0.520;0.500;0.500;0.500;0.500;15.745;18.3;18.2;19.7;12.2;8.3;28.7;17.5;24.0;17.3;5.8;4.0;0.0;0.0;0.0;12.4;9.1;Energy;6.8 ;18.5 ;73.6;2.71;2.73;2.89;3.05;3.22;14.59;16.4;1.53 ;8.1 ;(15.2);(6.9);(7.1)
